TF	Number_of_ChIPexp	q_value_mean	baseMean	log2FoldChange	lfcSE	pvalue	padj
SPT6H	2	6.58255825809e-05	7.81301271438e-11	0.172710747329	0.502207924291	4.24306406219e-10	0.429806038648
NKX21	4	6.81604493675e-05	3.13536497366e-10	0.237384812379	0.502207924291	9.40034663737e-11	0.418691132577
DNM3L	2	0.0830480591594	0.503653042165	0.253005715465	0.502207924291	0.0233086149965	0.00264841240769
CRX	5	0.00561423768635	1.35254091893e-05	0.0651430299339	0.502207924291	0.000619037079129	0.020362700982
KAT2A	4	8.0433275454e-08	4.45360887162e-21	0.235337868359	0.502207924291	5.76148766826e-14	0.111008615655
SRSF1	2	0.46558364933	0.496122370192	0.499881826073	0.502207924291	0.363330898696	0.483444416429
SRSF2	3	0.155238001291	0.0164940767917	0.330014601521	0.502207924291	0.164371615773	0.200640526712
EGR2	11	2.29989845452e-10	8.0231397288e-27	0.0850887703425	0.502207924291	3.7467899191e-21	0.500937794654
EGR1	5	0.000324248344537	6.25586097978e-11	0.333209292375	0.502207924291	7.15766080468e-07	0.478332587361
JUN	13	4.33743538113e-11	3.62192456208e-28	0.490241643141	0.502207924291	1.15953797532e-23	0.148472817956
MEIS1	13	2.48516913649e-10	5.14812985925e-22	0.379202851759	0.502207924291	6.58365619069e-26	0.146861501753
SIR1	3	5.70588175618e-06	4.86835396994e-12	0.253005715465	0.502207924291	2.77924905675e-14	0.351795540301
SIR6	11	1.22609436189e-06	3.2177649753e-13	0.137392853551	0.502207924291	1.17709652519e-15	0.106024290344
NFE2	4	0.0225345471648	3.23556733917e-05	0.45458331143	0.502207924291	0.00251315984453	0.313023232931
FOS	13	7.40497943877e-07	1.26933414857e-15	0.137392853551	0.502207924291	5.91456900779e-15	0.429806038648
SMRC2	2	0.190768698276	0.359404732941	0.361558090514	0.502207924291	0.141607328538	0.0273403716862
PARP1	1	0.377865975772	0.380783791427	0.499881826073	0.502207924291	0.196821234251	0.409437511349
ZN335	6	0.178830973474	0.0172520647993	0.330014601521	0.502207924291	0.272365635103	0.234857046404
PAX5	12	2.38988862532e-12	3.73899642797e-29	0.182050087399	0.502207924291	2.69429372957e-26	0.000846474476777
PAX7	1	0.123635226736	0.0157045270792	0.36831884851	0.502207924291	0.0491873065806	0.202174202272
PAX6	4	0.000782780644256	2.59062974542e-06	0.237384812379	0.502207924291	2.01508490206e-09	0.472242646442
PAX3	1	0.283605227779	0.34128876481	0.446545603507	0.502207924291	0.178010871134	0.134664543823
TAF9B	1	0.0552131718415	0.00840885947143	0.387423820227	0.502207924291	0.00185477022439	0.169089404248
PWP1	1	0.113027699734	0.0553463059209	0.421687009218	0.502207924291	0.00563580346637	0.279258360371
ESR1	27	1.18051550504e-06	1.15154515549e-13	0.209157230453	0.502207924291	7.04643146635e-16	0.26899972071
INSM1	1	0.000165822775865	4.34178361789e-07	0.20031319614	0.502207924291	9.44306454329e-12	0.303981146962
MYCN	1	0.0029270031248	3.72835625453e-10	0.447398085372	0.502207924291	0.033171181153	0.0773143142667
SRBP2	1	0.000718163310996	1.00967047821e-07	0.0643341306353	0.502207924291	1.30083187991e-07	0.45018419584
SRBP1	6	0.449076423544	0.425081573173	0.475202950817	0.502207924291	0.409078905186	0.440107958718
TYY1	5	3.81990892364e-09	1.14388607523e-23	0.0643341306353	0.502207924291	9.56232124181e-18	0.23014097106
ZBT17	8	4.30964554397e-09	8.24352532946e-21	0.104779105548	0.502207924291	4.38273116032e-20	0.0781972903902
TBX5	1	4.99181493727e-05	2.88098066852e-08	0.142538422341	0.502207924291	4.29457986396e-13	0.349957934823
STAT6	10	2.37416137309e-15	2.53555569466e-34	0.370531076143	0.502207924291	7.31093910609e-35	2.18673750849e-05
EHMT2	2	0.00291769858008	0.0699623681426	0.330014601521	0.502207924291	1.3090636913e-07	0.000139302889425
STAT3	41	6.43098900413e-20	7.93467743767e-50	0.288113263834	0.502207924291	2.22143596857e-43	0.000431299491126
STAT2	7	3.91198155548e-12	1.33598708815e-20	0.104779105548	0.502207924291	9.23721278057e-30	1.41085550108e-07
STAT1	42	2.97152495248e-22	2.64589187074e-44	0.0643341306353	0.502207924291	9.08093186808e-54	2.98448499918e-10
FOSL1	1	0.217572512693	0.122001013347	0.503176823117	0.502207924291	0.0423169763259	0.373712720127
FOSL2	6	1.3978716717e-10	2.5766025779e-23	0.337674348002	0.502207924291	1.46973761286e-24	0.0083112748155
ANDR	18	0.0208357334781	0.00184126338653	0.235337868359	0.502207924291	0.000155108775713	0.116336582994
SRF	16	2.13813201423e-07	3.09548293631e-17	0.121946524441	0.502207924291	9.51634150937e-16	0.247697235572
SALL4	6	7.11971626782e-07	2.76222070106e-14	0.292535200908	0.502746142691	4.31729096194e-16	0.104307817674
USF1	3	0.000856253077686	6.38643524226e-08	0.305167280242	0.502207924291	2.78108519107e-07	0.169089404248
ATRX	6	4.12368826054e-05	4.84476004671e-11	0.0582579822774	0.502207924291	1.76435420288e-10	0.476795429219
NKX61	1	3.31596931715e-05	1.14717902898e-10	0.257482095527	0.502207924291	7.69954566684e-12	0.351014956766
GM6871	1	0.385587746533	0.449475649447	0.323067457805	0.502207924291	0.362294844923	0.322604946569
TDG	1	0.00172817327191	9.4522985847e-05	0.3851981101	0.502207924291	1.84196111031e-09	0.457668289764
TF2B	5	4.80713610663e-09	8.63107529972e-22	0.137392853551	0.502207924291	1.63652915436e-19	0.263387849613
MAFK	4	0.00121765987683	3.07405541639e-07	0.330919188478	0.502207924291	3.86461186363e-07	0.135583516084
SOX9	1	0.311445956695	0.113262758428	0.437317001711	0.502207924291	0.24134557239	0.488098071999
AFF4	4	0.00118506670104	1.69118770014e-12	0.340863694297	0.502207924291	0.0286918183938	0.281384248969
GABPA	2	0.000944127136254	3.11206250839e-08	0.149099786414	0.502207924291	1.90382538759e-06	0.169089404248
T2EB	2	9.98349282643e-08	6.13568243852e-20	0.104779105548	0.502207924291	2.12239351355e-14	0.144732318603
MYBA	2	0.000615266278629	7.5461454899e-07	0.437317001711	0.502207924291	1.1703344003e-09	0.454569714111
FOXO3	1	0.11094730344	0.0226810299314	0.294276732428	0.502207924291	0.010011466505	0.500937794654
SOX2	30	9.60717209298e-08	1.12915042746e-15	0.235337868359	0.502207924291	1.38131950613e-19	0.443972966664
FOXO1	10	8.08467978335e-17	1.51717576492e-41	0.0024963628946	0.502207924291	9.98430007094e-35	0.0018187345376
CNDD3	4	7.02385558931e-07	1.08929959285e-15	0.14105669618	0.502207924291	1.79870986324e-14	0.12316637037
SOX3	6	0.000558058616072	2.95604109709e-08	0.288340063038	0.502207924291	6.95911617554e-08	0.181696258449
TEAD2	2	0.275347790602	0.273040023835	0.237384812379	0.502207924291	0.174116124614	0.279258360371
TEAD1	1	0.000959927659674	0.000232693463699	0.393511508671	0.502207924291	3.68451334887e-08	0.00048104666803
TEAD4	3	0.00037312338843	3.69013989869e-10	0.492913750025	0.502207924291	1.79656953419e-07	0.440677632213
NPAS4	3	0.308648346387	0.294301870914	0.494597024082	0.502207924291	0.0873283876009	0.438769315147
NPAS2	1	0.208248643875	0.0927837510115	0.323067457805	0.502207924291	0.456578960427	0.0569831316675
NIPBL	4	9.81433866295e-09	4.04229035165e-19	0.137392853551	0.502207924291	9.80172376903e-21	0.333063875803
ZFP42	1	0.151829566825	0.00901113794282	0.347885512402	0.502207924291	0.123317289884	0.415583456602
DMC1	23	0.00139825834956	2.85118783773e-05	0.237384812379	0.502207924291	3.41363616032e-09	0.460635659985
HXA9	3	0.133244221597	0.00607169776682	0.347300682415	0.502207924291	0.0866546264381	0.457668289764
RBTN2	2	2.01194359921e-05	4.38979876283e-12	0.411778935472	0.502207924291	1.67747713234e-11	0.216486142517
KMT2C	7	1.69796300033e-07	1.73556425814e-15	0.20031319614	0.502207924291	4.78069347645e-18	0.169089404248
KMT2B	3	0.000367758000451	3.83229804651e-06	0.137375770424	0.502207924291	3.38168245301e-10	0.0752358519557
KMT2A	7	9.23456672254e-06	2.0381851154e-11	0.46659206078	0.502207924291	1.84326003536e-13	0.076283652495
KMT2E	1	0.230181168929	0.171884762935	0.499881826073	0.502207924291	0.0341290672971	0.438769315147
KMT2D	13	1.28296141703e-07	2.29855784044e-17	0.137392853551	0.502207924291	5.25192709991e-17	0.417297851535
HCFC1	4	3.3414736027e-09	1.38296849687e-20	0.137392853551	0.502207924291	6.67996585807e-21	0.0653515568622
ARX	2	0.124497410174	0.271303856399	0.288113263834	0.502207924291	0.0613559555965	0.0124177262407
CTCFL	1	0.137500981967	0.0522763516444	0.471122705194	0.502207924291	0.0160699828503	0.247280982961
BCL6	8	3.37969528473e-06	6.33118116171e-11	0.0643341306353	0.502207924291	4.7568899597e-16	0.45316346152
ISL1	4	0.127100872441	0.0590134894627	0.335167189487	0.502207924291	0.00752124571864	0.443972966664
CDX2	11	0.0293403309913	0.00254020952046	0.25435773531	0.502207924291	0.00028372265286	0.236174487866
ARI3A	2	0.000294709513687	2.35494565602e-06	0.141242877293	0.502207924291	4.4772662379e-11	0.297253414459
MAFF	4	0.046960960418	0.00253416040707	0.418732670356	0.502207924291	0.00107930348565	0.39708799964
EOMES	2	0.000372125887373	3.13763661987e-08	0.330919188478	0.502207924291	1.35174867447e-08	0.101238408008
KDM4A	2	0.312508225319	0.132286024816	0.499881826073	0.502207924291	0.198796034268	0.451476003108
TLE3	1	0.0432218241374	0.0472574320007	0.40407325455	0.502207924291	0.000172465676741	0.0912008735079
PHC1	1	0.121666892	0.00817954288954	0.446545603507	0.502207924291	0.423208587976	0.0343422847894
TLE2	1	0.0426420058087	0.0475508896067	0.40407325455	0.502207924291	0.000160208964681	0.0912008735079
MYC	47	2.1089436737e-11	1.31280752965e-30	0.137392853551	0.502207924291	8.51119738857e-22	0.0541109896345
MYB	2	0.0194175690258	0.00214931966208	0.256711396319	0.502207924291	6.88302024683e-05	0.144732318603
DDIT3	1	0.245206736164	0.0853941803276	0.494597024082	0.502207924291	0.086273327964	0.484420036374
FLI1	11	6.79889858555e-14	1.07628264926e-36	0.20031319614	0.502207924291	3.20464252929e-29	0.418691132577
RBP2	1	0.00137453838924	2.4524583858e-05	0.347885512402	0.502207924291	6.30255774056e-09	0.181696258449
TLE4	1	0.0426420058087	0.0475508896067	0.40407325455	0.502207924291	0.000160208964681	0.0912008735079
TBX3	5	6.8047467623e-05	1.15435999713e-07	0.182050087399	0.502207924291	3.13706205425e-13	0.440677632213
ZKSC1	2	0.00726621547084	2.79679417835e-06	0.399125971362	0.502207924291	0.000193496362762	0.186730172583
CTR9	1	0.00221039720947	3.9715798798e-07	0.499881826073	0.502207924291	1.26394572225e-06	0.418705806033
GRIP1	2	2.09991756301e-07	1.07620109931e-15	0.349770833339	0.502207924291	6.94604436194e-17	0.031096613257
KDM5A	3	0.000493423348289	8.76408557938e-08	0.480256894559	0.502207924291	2.78108519107e-07	0.00497531300855
KDM5B	1	0.383629649204	0.204205878619	0.43171394134	0.502207924291	0.436657008925	0.429806038648
KDM5C	2	0.188060553314	0.0518103485579	0.194580773695	0.502207924291	0.246786212052	0.188264161662
BATF	22	2.79709799599e-17	1.33427650205e-42	0.207479456488	0.502207924291	1.7271632e-38	0.00713018066018
VDR	9	0.000164907696192	6.23582284205e-12	0.293096787991	0.502207924291	7.31010713073e-06	0.0181757563462
RFA2	5	5.28995779849e-09	1.76066215818e-18	0.306848878607	0.502207924291	3.17387409352e-20	0.00048104666803
CNDH2	2	0.163613938748	0.0115795271331	0.237384812379	0.502207924291	0.435441573909	0.19504925323
INO80	1	0.000144086811941	3.44848384263e-11	0.254277682079	0.502207924291	7.44324012689e-08	0.189469422277
EP400	3	0.000279136734524	1.07761332103e-06	0.257482095527	0.502207924291	7.45289267279e-11	0.16317985898
HEXI1	1	0.0739778214983	0.00475465269818	0.462261117318	0.502207924291	0.0178264373161	0.112603893796
EED	2	0.0308576081749	1.10523762011e-05	0.423387249645	0.502207924291	0.435441573909	0.0273403716862
CHD1	4	3.34944523991e-07	4.87031922869e-20	0.492913750025	0.502207924291	1.7171850669e-11	0.020362700982
CHD2	2	4.22641836509e-07	3.19681755645e-17	0.419916129554	0.502207924291	6.72932653577e-15	0.297253414459
AP2A	6	1.38460341825e-06	4.74091254919e-13	0.0643341306353	0.502207924291	7.93498832319e-16	0.418691132577
CHD4	20	2.94839824828e-07	2.58396820364e-13	0.213013225843	0.502207924291	2.57499775213e-19	0.313023232931
AP2C	2	7.72517383091e-05	2.4568051586e-09	0.313138753368	0.502207924291	1.90551480873e-11	0.373712720127
ASXL1	1	3.31915162581e-08	1.08601280762e-23	0.158928766809	0.502207924291	1.04048124298e-13	0.446663211892
RAD21	23	7.26340473631e-05	0.000194875168214	0.347885512402	0.502207924291	2.24201855916e-14	0.00264841240769
OTX2	10	2.92546957146e-06	1.11820025727e-12	0.207972805485	0.502207924291	3.75890313942e-15	0.488098071999
NR5A2	2	0.00849148737459	2.74694964914e-05	0.235337868359	0.502207924291	3.07088156142e-05	0.442822519734
TFE3	3	0.0249096391111	5.38265997735e-05	0.318341911822	0.502207924291	0.00484249196748	0.23014097106
TFE2	12	3.51317921155e-11	4.17836259343e-29	0.137392853551	0.502207924291	5.99848740638e-23	0.309461011158
TOP2B	1	0.119709714271	0.0991710417851	0.313138753368	0.502207924291	0.00499772251995	0.315405728086
TOP2A	4	0.00446464356471	0.0001459499722	0.182050087399	0.502207924291	4.21488682275e-07	0.315405728086
SMC1A	11	0.00102713127653	0.00108373476953	0.450854509477	0.502207924291	2.86404788443e-10	0.0162669641083
NCOA2	4	4.31434447034e-08	5.7683554528e-18	0.104779105548	0.502207924291	1.14575381673e-18	0.429806038648
NUCKS	1	0.000237607702081	5.87862932955e-09	0.137392853551	0.502207924291	5.15094560621e-09	0.362486490597
STAG2	2	0.147054665949	0.166218836595	0.470022176009	0.502207924291	0.00898602463095	0.19504925323
STAG1	2	0.0435846490853	0.408807527899	0.268155155876	0.502207924291	6.69825451816e-05	0.0426498517123
JARD2	13	0.0235780977208	0.0013500487406	0.346389150032	0.502207924291	0.010837698941	0.00286292153082
TE2IP	4	0.107054020995	0.0392555896657	0.492913750025	0.502207924291	0.00458764015295	0.315405728086
SPT5H	8	1.88118840205e-08	5.97477617816e-18	0.23887239297	0.502207924291	2.01429811902e-20	0.16317985898
ETV2	4	0.0108237042257	5.98337301042e-06	0.330014601521	0.502207924291	0.000442780683656	0.338320347744
TAF3	3	8.40269108404e-06	3.41067239061e-09	0.321829486603	0.502207924291	3.0058992817e-16	0.252794815873
TAF1	1	1.04852551661e-05	2.15937440202e-15	0.447398085372	0.502207924291	1.43761767485e-09	0.181696258449
ETV6	4	5.89297222272e-11	4.61312840912e-33	0.104779105548	0.502207924291	9.84898161067e-18	0.297253414459
CNDG2	2	6.97959229539e-05	4.94279016548e-09	0.358574944801	0.502207924291	4.86636887084e-12	0.382392681813
HNF4A	14	2.60551604253e-05	2.11991816426e-09	0.390516723651	0.502207924291	6.8981510554e-14	0.418691132577
KDM1A	14	3.45693787279e-09	2.39647303588e-21	0.114002640519	0.502207924291	2.23365877543e-20	0.161090535602
HTF4	1	0.322785154716	0.122001013347	0.490241643141	0.502207924291	0.247703012248	0.470954854205
DMRT1	1	0.0109495299185	4.09308062748e-06	0.218215121795	0.502207924291	0.000785140824189	0.446900777028
FOSB	8	3.41926327931e-06	1.40027811338e-17	0.104779105548	0.502207924291	1.74983998827e-09	0.362486490597
SUH	22	9.51265395214e-06	3.71820113565e-15	0.182050087399	0.502207924291	5.25777302621e-10	0.435812142238
IKZF1	16	2.43410301807e-14	2.1440538761e-33	0.20031319614	0.502207924291	3.37596672182e-34	0.11734586792
NCOR2	4	3.13779852564e-08	6.26193096575e-16	0.435573757826	0.502207924291	1.63790621584e-21	0.13557596322
IKZF3	1	0.00318901370881	2.85236666334e-05	0.14105669618	0.502207924291	5.369732617e-07	0.303981146962
NANOG	15	1.77696113137e-06	4.58605703875e-12	0.182050087399	0.502207924291	9.83112512925e-17	0.429806038648
FOXK1	1	0.000787645377605	2.69717747737e-09	0.303795880796	0.502207924291	2.7151160024e-06	0.271325297132
CHD7	2	0.162553689011	0.0374899757938	0.254277682079	0.502207924291	0.130476170044	0.181696258449
KDM6A	14	4.03459791849e-05	2.21823907348e-11	0.137392853551	0.502207924291	1.90326854315e-10	0.366982348169
NBN	4	1.91798833694e-05	1.18339559354e-09	0.104779105548	0.502207924291	4.57027797938e-13	0.0912008735079
KDM6B	6	5.64299644576e-07	1.07106202142e-14	0.167846497513	0.502207924291	1.29527280226e-16	0.489302205026
NFKB1	11	0.000693480400971	6.15449392521e-06	0.288113263834	0.502207924291	7.20289740367e-07	0.000250048681292
HELLS	2	6.79153595272e-05	2.10938214723e-09	0.0112007752677	0.502207924291	4.26244495117e-10	0.285689531219
LYL1	1	0.257036583989	0.396612684209	0.330919188478	0.502207924291	0.0940465616773	0.18099212142
ATOH1	3	0.00798334375754	2.33309039308e-05	0.419916129554	0.502207924291	1.53346530464e-05	0.429806038648
ELL	1	0.342262525839	0.420051856982	0.213013225843	0.502207924291	0.33138598671	0.315405728086
H2B1A	3	0.294662612608	0.36319892383	0.332717970619	0.502207924291	0.473435581915	0.0773143142667
HIRA	3	0.0461057892046	0.057697258104	0.182050087399	0.502207924291	0.010837698941	0.00364427038001
MTF2	1	0.092871750673	0.0138203210415	0.45458331143	0.502207924291	0.0678171343567	0.0322896655021
ZN322	1	0.229588894895	0.0203841301981	0.494156004022	0.502207924291	0.27930576146	0.451476003108
HXA2	2	0.413366834093	0.36319892383	0.323067457805	0.502207924291	0.464767560339	0.440677632213
ZN281	2	0.244357895938	0.0575910900454	0.504027040869	0.502207924291	0.142734909842	0.418705806033
JUNB	11	1.81062301477e-15	5.4095110547e-32	0.340863694297	0.502207924291	1.11100372003e-34	1.89148259075e-08
JUND	6	4.76853055675e-10	9.10008294714e-23	0.31338744464	0.502207924291	6.42004409376e-24	0.268147858915
OVOL2	1	0.123272614572	0.00780435183916	0.492913750025	0.502207924291	0.0337870006043	0.436106000776
ELF1	2	3.05249921999e-13	7.73050412013e-40	0.0864889841255	0.502207924291	1.83634011771e-22	0.429806038648
TAL1	39	7.53873279888e-08	7.68059354065e-14	0.221843420185	0.502207924291	1.28359429833e-17	2.21686413548e-05
ELF5	1	0.00465398684179	7.60220170274e-05	0.271498787785	0.502207924291	4.77984599404e-07	0.440677632213
TF7L2	3	6.00429596522e-06	7.31395357725e-11	0.146123139093	0.502207924291	4.60984291867e-15	0.315405728086
GRHL2	1	0.0404176384554	0.0488686418218	0.213013225843	0.502207924291	0.000119141596935	0.173169282333
GRHL3	4	1.73698728477e-05	3.96426032634e-10	0.0582579822774	0.502207924291	4.58622310814e-13	0.297253414459
CRY1	1	0.00627414606299	2.38363874361e-05	0.182050087399	0.502207924291	2.63840731188e-05	0.169089404248
CRY2	1	0.0102597391824	5.38265997735e-05	0.104779105548	0.502207924291	0.000108492165258	0.369937222531
CTNB1	12	0.000164779094007	1.42828372941e-07	0.326249575036	0.502207924291	1.67747713234e-11	0.309461011158
GLI3	3	0.0416446533778	0.000267884006933	0.344653865436	0.502207924291	0.017180081015	0.157238013954
GLI1	5	0.161514321397	0.444857120917	0.446545603507	0.502207924291	0.0120805376045	0.0912008735079
PSB1	2	0.435727301751	0.390801925664	0.357922510736	0.502207924291	0.456578960427	0.489698416302
MSX1	1	0.0283543447381	0.00028491864661	0.340863694297	0.502207924291	0.00552060336322	0.0680653920546
NACC1	1	0.123883174084	0.102928918049	0.492913750025	0.502207924291	0.0263240671025	0.0435027518152
SIN3B	11	1.93379883887e-08	2.08007098224e-21	0.494156004022	0.502207924291	1.21887219416e-17	0.429806038648
ZMIZ1	2	1.55651463682e-09	9.09031121041e-26	0.477152819264	0.502207924291	1.89404345789e-18	0.221440114998
SIN3A	14	1.9260734553e-09	3.30136379809e-20	0.288113263834	0.502207924291	1.29107513996e-23	0.429806038648
NCOR1	6	8.79393066381e-10	4.63692128794e-23	0.393511508671	0.502207924291	3.90783751135e-22	0.146861501753
ASCL2	1	3.72542409932e-06	1.05731905871e-15	0.130463212974	0.502207924291	1.19702064324e-09	0.00865364881258
PAXI1	3	1.01872134472e-11	9.96392352947e-28	0.340863694297	0.502207924291	3.53907562745e-26	0.0181757563462
SETB1	4	0.17092309764	0.461562612762	0.323067457805	0.502207924291	0.00526584831164	0.369937222531
LUZP1	1	0.455794964099	0.385498611238	0.478075116266	0.502207924291	0.444339707964	0.478332587361
ERR2	1	0.0160412305996	6.67153533801e-05	0.347881153596	0.502207924291	0.000194646558001	0.46816767952
BAP1	1	1.40153147856e-07	4.53887397912e-16	0.438232856259	0.502207924291	1.61547541509e-18	0.335102222362
NFIC	2	0.348422006685	0.2932647822	0.447398085372	0.502207924291	0.159174556005	0.489572084961
NFIB	3	1.9044724835e-05	2.43526063967e-12	0.0948895835884	0.502207924291	4.4097027244e-11	0.489572084961
GFI1	1	0.000120023286739	2.81419067277e-10	0.104779105548	0.502207924291	3.96173585641e-09	0.424551415922
MXI1	2	1.32712193879e-06	5.37342838353e-13	0.288113263834	0.502207924291	2.09453538174e-16	0.252794815873
BRAC	4	0.000854781825446	7.01921680443e-06	0.14105669618	0.502207924291	6.24888464007e-09	0.146861501753
ZFP57	1	0.159025439743	0.233099724618	0.399125971362	0.502207924291	0.11457119604	0.0189986293029
HXB4	7	1.16331600806e-09	4.40669792408e-24	0.340863694297	0.502207924291	6.37795182022e-21	0.442822519734
ATF4	3	1.97754586519e-07	7.97882822042e-15	0.425129081124	0.502207924291	1.20887492476e-18	0.146861501753
ERR1	1	0.0790599716952	0.0193434304807	0.475202950817	0.502207924291	0.0013671989611	0.489390310026
ATF3	10	0.00255285576037	1.29064638025e-06	0.430004097982	0.502207924291	2.14102618567e-06	0.181696258449
ATF2	2	6.16972541192e-05	2.94361161047e-12	0.346389150032	0.502207924291	3.60394979954e-09	0.484420036374
