GeneName	HJV5JBCXX_PR0478_01A0202	HJV5JBCXX_PR0478_02A0403	HJV5JBCXX_PR0478_03A1105	HJV5JBCXX_PR0478_04A1206
5830416P10Rik	496	496	481	448
Ints3	1625	1626	1517	2000
Ints2	875	1086	1429	1165
Ints1	2281	2223	1922	2961
Ints7	2156	2208	2475	2622
Ints6	2139	2883	2442	2833
Ints5	1729	2259	1636	1937
Ints4	2299	3038	2525	2355
Ints9	1709	1991	1782	2305
Ints8	2446	2410	1917	2075
Mir344-2	0	0	0	0
Mir6347	0	0	0	0
Papd7	419	510	644	694
Papd4	2165	2786	2733	3334
Gm1587	0	0	0	0
Mir6345	9	8	1	9
Cdc37l1	1874	1557	1916	1822
Oaf	0	0	0	9
Auh	918	896	1001	1219
Adgrv1	0	10	32	2
Mir222	0	3	0	0
Ska1	1	0	20	38
Mir221	0	2	0	0
Mir224	0	0	0	0
4930529L06Rik	0	0	0	0
Hif1a	6577	5463	6457	6438
Il10	0	0	0	4
Rasef	0	0	2	0
Try4	0	0	0	0
4930595M18Rik	0	0	0	0
Olfr899	0	0	0	0
E130012A19Rik	178	260	232	446
Lace1	195	229	218	171
Olfr893	0	0	0	0
Cntd1	0	10	38	0
Ebag9	1034	1010	1141	1270
9430021M05Rik	0	0	0	0
Olfr894	0	0	0	0
Mrps9	1019	1107	1514	1514
Mrps7	759	842	759	1103
Mrps6	268	256	247	258
Mrps5	580	727	666	992
Gjc2	0	0	0	0
Mrps2	509	771	678	880
Hilpda	345	284	391	329
Gjc1	0	0	0	0
Wapal	7888	8998	8378	9237
Il3ra	65	80	109	119
Tulp2	4	14	43	0
Tulp3	6	29	18	16
Tulp1	0	0	0	0
Tulp4	768	507	437	742
Lpp	806	609	1251	1346
Lpo	0	0	0	0
Lpl	0	0	0	0
Jagn1	931	1213	1147	1299
Rln1	0	0	0	0
Rln3	13	12	7	17
Abce1	4894	5238	5690	6023
D130043K22Rik	5	0	2	0
Hhip	0	0	0	0
Scn7a	0	0	9	15
Pou2af1	19	115	64	54
1700060C20Rik	0	0	0	0
Vcpip1	2657	2299	2524	2177
4930579K19Rik	13	18	22	19
Bex6	0	5	0	2
Bex4	0	0	0	2
Bex2	6	23	18	15
Bex1	0	0	0	0
Prcc	351	333	383	466
Dhx30	4776	5720	4976	5430
Nanp	28	36	30	37
Nans	1771	1735	1591	1810
Prcp	626	450	547	640
Gosr1	3344	3378	3686	4003
4930546K05Rik	0	0	0	0
Rhno1	620	750	751	777
Gm11413	0	0	0	2
Snupn	498	482	560	622
Gm14420	94	79	181	108
Olfr1432	0	0	0	0
Olfr1431	0	0	0	0
1700030J22Rik	0	18	0	0
Olfr1436	0	0	0	0
Olfr1434	0	0	0	0
4933415F23Rik	0	0	0	0
Polq	164	107	181	220
Hbb-y	0	0	4	0
Polg	2975	2757	2411	2981
Pole	944	861	1156	745
Fam114a1	173	142	171	200
Polb	737	721	557	754
Poln	11	18	13	42
Polm	862	833	1084	1110
Poll	672	1039	816	814
Polk	1156	1112	1302	1298
Poli	962	1117	1205	1525
Polh	198	201	393	526
Olfr866	0	0	0	0
Olfr867	0	0	0	0
Olfr862	0	0	0	0
Olfr860	0	7	12	0
Olfr868	0	0	0	0
Olfr869	0	0	0	0
Timm13	1583	1692	1733	2178
Timm10	386	329	436	470
Glod5	0	0	0	0
Rngtt	2305	2511	2513	2346
Psca	0	0	0	0
Prr12	190	209	226	236
Prr13	13818	13417	16900	17831
Prr11	8	7	17	51
Prr16	0	0	0	0
Aurka	89	69	146	125
Aurkb	100	46	168	233
Prr15	0	0	0	0
Stk11ip	1061	854	1077	922
Prr18	0	3	0	0
Prr19	0	0	0	0
BC051019	9	8	1	1
Ugt1a7c	23	9	44	7
Gm16863	0	0	0	0
Gm16861	25	6	5	15
Wdr62	178	105	195	70
Wdr63	1	0	2	3
Wdr60	0	4	0	31
Wdr61	1776	2139	2070	2255
Wdr64	0	0	0	0
1700030K09Rik	304	244	226	236
Aldh9a1	2480	2762	2455	2869
Fam122a	528	575	663	625
Fam122b	792	455	819	754
Fam122c	0	0	0	0
Cyp3a41b	0	0	0	0
Cyp3a41a	0	0	0	0
Zfp78	119	167	61	117
4931408C20Rik	0	0	1	0
Zfp72	95	76	67	60
Zfp74	379	319	216	479
9830107B12Rik	0	0	0	0
4930512J16Rik	0	0	0	0
Svep1	0	0	0	0
Dus3l	893	914	933	1131
Tssc4	339	347	460	499
Tssc1	748	1084	955	1144
Zfyve19	906	689	989	1113
Zfp687	999	927	913	1072
Zfp688	339	394	417	440
Zfp689	639	480	506	456
Zfyve16	1591	978	1548	1041
Ube2v1	2041	2564	2065	2525
Ube2v2	456	499	295	489
Dhh	0	0	0	1
Vwc2	0	0	0	0
Mef2c	2	0	2	16
Krt2	0	0	1	0
Krt1	0	0	0	0
Krt7	1	0	0	0
Krt5	0	0	0	0
Mef2d	1760	2103	1797	2541
4930425O10Rik	0	0	0	0
Arid4a	3377	3670	3417	4298
Arid4b	4129	4804	4641	5121
Krt8	0	0	0	0
Cluh	1461	1859	1705	2050
Zfp352	0	0	19	0
Foxg1	0	0	0	0
AU019990	0	0	1	1
Gm4187	0	0	0	0
D030045P18Rik	0	0	0	0
Dnpep	1193	1539	1460	1484
Mc1r	0	0	0	0
1700057G04Rik	0	0	0	0
Phgr1	0	0	0	0
Chmp2b	1030	785	872	1063
Chmp2a	3047	3110	3710	4093
Fam159b	0	0	0	0
Fam159a	0	0	0	0
Stip1	3427	5858	2642	3402
Tpbpb	0	0	0	0
Tpbpa	0	0	0	0
Fxyd3	0	0	0	0
Prim1	504	506	649	496
Prim2	409	160	392	444
Reck	1376	1210	1177	1355
A730020M07Rik	0	0	0	0
Irf2bpl	2711	2796	2516	3000
Gm20362	0	0	0	0
Kcnd1	0	0	0	19
8430419L09Rik	1433	1524	1610	1476
Brpf3	203	248	211	257
Brpf1	3870	3315	3663	3719
Helt	0	0	0	0
Helq	763	639	719	989
Mcts1	781	1293	1181	1345
Mcts2	59	73	102	100
6230400D17Rik	52	86	49	35
Helz	3299	4025	3456	4089
Irf2bp2	5078	5435	4479	5613
Rec8	0	0	0	0
Irf2bp1	2054	2442	2269	2200
Helb	421	509	649	616
Rgag4	50	37	42	71
Fos	1	4	15	0
Chrna10	0	0	0	0
Sec14l4	0	0	0	0
Mir92-1	0	0	0	0
4930449E18Rik	0	0	0	0
Pde5a	0	3	0	0
Esp38	0	0	0	0
Esp31	0	0	0	0
Esp34	0	0	0	0
Esp36	0	0	0	0
Sac3d1	513	604	502	559
A730082K24Rik	0	0	0	0
Drc7	1	0	8	0
Drc1	0	0	7	27
Fam196b	537	473	722	303
Fam196a	0	0	0	0
Gm19583	0	0	0	0
Gm19589	171	198	166	102
Gm11351	0	0	0	0
Hip1	2047	1833	2498	2547
Gm4961	0	0	0	0
Gm8234	0	0	0	0
Stk24	1140	1218	1460	1200
Trabd2b	0	0	0	0
Helz2	1641	1752	2457	2807
Gpr52	5	9	0	0
Gpr50	0	0	0	0
Gpr55	130	357	268	375
Mcm7	1691	1583	2350	1929
Dsc2	0	0	13	5
Dsc3	1	0	3	0
Dsc1	1	4	1	0
Cybb	8	0	56	166
Cyba	7398	7214	8871	10846
Hint1	2399	2422	2675	3311
Hint2	467	449	574	747
Hint3	239	264	250	391
Hsf1	2106	2891	2399	2434
Hsf3	0	1	0	5
Hsf2	109	143	108	132
Hsf5	0	2	1	4
Hsf4	81	69	122	131
Accsl	0	0	0	0
Ctnnd2	0	1	2	9
Ctnnd1	0	0	0	40
Als2cl	927	726	824	967
Kctd12b	0	0	0	0
4932411E22Rik	0	0	0	0
Atp6v0c-ps2	0	0	0	0
Dntt	0	0	5	1
Nxn	222	196	242	269
Epb4.1l2	635	834	898	950
Epb4.1l3	0	0	25	14
Epb4.1l1	19	0	7	15
Nrarp	186	254	300	541
Epb4.1l5	1	17	0	3
Nlrp4b	0	0	0	0
Nlrp4c	0	0	0	0
Gm21119	1	1	1	0
Mir7236	0	0	0	0
Nlrp4f	0	0	0	0
D630039A03Rik	1	29	62	10
Cks1brt	0	0	0	0
Nlrp4g	0	0	0	2
Fcnb	0	0	0	35
Fcna	0	2	4	11
Gpatch2l	1401	1045	1776	1610
Mir7232	0	0	0	0
Nrbp2	24	10	0	25
Nrbp1	5007	5432	5273	5745
Sgk3	493	657	376	676
Sgk2	1	0	12	1
Sgk1	7867	6029	8560	7129
Rexo1	2169	2696	2542	3520
Rexo2	2338	2451	2354	2919
Rexo4	1776	2126	2342	2535
Numb	1575	1886	1879	2121
Kdm4c	2452	2580	2144	2733
Kdm4b	2793	3186	3513	3410
Kdm4a	661	724	555	857
Rpusd1	176	183	260	171
Rpusd2	250	312	285	278
Rpusd3	128	140	262	167
Khk	172	212	187	350
Vmac	674	741	944	817
Plod2	109	233	94	137
Plod3	201	238	375	277
Plod1	328	256	287	349
Cyp39a1	45	90	57	62
Dkkl1	408	302	516	382
Entpd7	168	163	174	221
Entpd6	1863	2369	2133	2029
Entpd5	5372	5781	4211	5119
Entpd4	10	17	16	9
Entpd3	0	0	0	1
Entpd2	0	0	0	0
Entpd1	759	625	1093	1136
Sarm1	236	238	128	220
Agxt	0	0	0	0
Entpd8	0	0	12	0
Map1lc3a	86	85	57	80
A530053G22Rik	0	0	0	0
Prdx6	5409	4960	5162	5854
Prdx5	1398	1362	1650	1918
Nupr1	0	0	14	15
Prdx3	2944	2824	3039	3742
Prdx2	2632	2596	2728	3115
Prdx1	10078	9594	10232	12162
Krit1	3861	3385	4353	3559
Pitx3	0	0	0	0
Panx2	0	0	0	0
Pitx1	0	0	0	0
Stfa2l1	0	0	0	2
Krtap3-2	0	0	0	0
Krtap3-3	0	0	0	0
Abi3bp	4	0	40	28
Ppp2r2b	0	0	11	0
1700047E10Rik	1	0	0	0
Prodh	0	7	10	5
Narfl	614	635	666	667
Gm960	0	3	4	0
1700025K24Rik	5	0	0	0
Abhd14a	326	354	483	442
Psg16	0	0	5	1
Abhd14b	214	271	343	329
Psg17	0	0	0	0
4921539E11Rik	0	0	3	4
Nagpa	1329	1365	1324	1390
Park7	6212	6354	6499	7895
Cfap70	0	2	0	0
Park2	0	0	0	3
Nxpe2	0	15	3	25
Nxpe3	1006	787	891	1018
Nxpe4	1	0	0	4
Nxpe5	0	0	0	0
Rnf44	2050	2268	2214	2636
Rnf43	163	206	179	242
Rnf41	822	1010	1083	951
Rnf40	4788	5300	4928	4959
Spink14	0	0	0	0
Spink13	2	7	4	0
Spink12	0	0	0	0
Spink11	0	0	0	0
Spink10	3	1	12	3
Usp49	25	42	99	36
Usp48	9800	9077	10778	10309
Usp45	1207	736	900	1293
Usp44	0	12	2	5
Usp47	5046	7012	6074	7126
Usp46	250	240	349	325
Rnf181	1368	1804	1883	2243
Rnf180	0	0	0	0
Usp43	0	0	0	0
Rnf182	0	0	10	0
Rab42	0	0	0	2
Ilf3	4108	5070	4515	5553
Ilf2	2102	2155	2310	2221
1700019G17Rik	292	398	295	320
4732490B19Rik	0	0	0	0
Zfp219	170	270	210	390
Zfp213	846	754	884	702
Zfp212	792	990	1043	1129
Zfp217	358	571	422	506
Olfr231	0	0	0	0
Timp1	0	0	0	0
Olfr235	0	0	0	0
Olfr239	0	0	0	0
Fbxl13	5	9	7	5
AI661453	8	0	2	1
1810044D09Rik	9	20	28	15
Ccnb3	0	0	2	0
Ccnb2	62	85	261	268
Ccnb1	96	85	165	241
Gpt	91	101	160	134
Hck	0	13	37	89
Olfr589	0	0	0	0
Fcamr	0	0	0	0
Olfr585	0	0	0	0
Olfr584	0	0	0	0
Tmeff2	0	0	1	0
Olfr586	0	0	0	0
Olfr583	0	0	0	0
Olfr582	0	0	0	0
Baz1a	3511	3630	3070	4040
Kcnk4	0	0	0	0
Baz1b	3024	3232	2801	3282
Slc7a15	0	0	2	0
Serpinh1	0	0	9	0
Kcnk1	0	0	0	0
Vmn1r118	0	0	0	0
Kcnk2	0	0	6	0
Slc7a13	0	0	0	0
Mir297a-3	0	0	0	0
Mir297a-2	0	0	0	0
Mir216b	0	0	0	0
Mir297a-4	0	0	0	0
Mir216a	0	0	0	0
Vmn1r119	0	0	0	0
Mir7662	0	0	0	0
Mir7663	12	18	9	7
Mir7660	0	0	0	0
Mir7661	0	0	0	0
Mir7666	8	15	8	12
Mir7667	0	0	0	0
Mir7664	1	1	0	1
Mir7665	0	0	0	0
Mir7668	0	0	0	0
Mir7669	11	11	18	11
Sucnr1	0	0	0	0
Clspn	10	21	128	27
Zfp961	521	762	674	832
Zfp960	1	2	13	11
Zfp963	404	311	342	377
Zfp964	0	0	0	6
Galr3	30	13	37	24
Galr2	0	0	0	0
Galr1	0	0	0	0
Cul4b	1622	2049	2021	2018
Tubb2a	67	67	72	91
Tubb2b	0	4	0	0
Tjp2	595	208	360	553
Nek7	8053	8467	8171	8497
Nek4	147	79	178	225
Nek5	17	24	14	11
Nek2	61	59	154	224
Nek3	142	49	123	146
Nek1	836	811	695	1025
Nek8	184	84	106	234
Nek9	1955	1959	1917	2697
C030016D13Rik	38	12	26	2
Gbx2	0	0	0	0
Gbx1	0	0	0	0
Senp8	156	133	121	154
Senp7	2298	2576	2028	2737
Senp6	3221	3586	2924	3565
Senp5	1531	1531	1263	1791
Stambp	766	971	1017	1054
Senp3	731	787	1071	1068
Senp2	2046	2429	2731	2707
Senp1	2792	1913	2272	2303
D430036J16Rik	0	0	0	0
Lce1e	0	0	0	0
Gm11627	0	0	0	0
Vmn2r26	0	0	0	0
Vmn2r27	11	0	0	10
Vmn2r24	0	0	0	0
Vmn2r25	0	0	0	1
Vmn2r22	0	0	0	5
Vmn2r23	0	0	4	0
Vmn2r20	0	0	0	0
Vmn2r21	0	0	0	0
Pnky	0	0	0	0
Vmn2r29	16	13	12	20
Pnkd	551	719	796	696
Pqlc3	1388	1319	1930	2029
Pqlc2	77	181	121	161
Pqlc1	459	475	501	478
Pof1b	0	0	1	0
Selenbp2	0	0	0	0
Snora19	0	0	0	0
Snora15	0	0	0	0
Snora17	3	5	12	8
Heca	4770	4462	4297	4780
Kat8	607	876	554	815
Kat5	1104	1204	1367	1335
Kat7	4090	4186	4506	4837
4930556N13Rik	0	0	0	9
Gsg1l	0	0	0	0
Arhgap30	11587	12844	13164	16347
Ccdc23	641	593	720	904
Ccdc22	319	329	348	336
Ccdc25	913	870	1144	1239
Ccdc24	0	0	0	0
Ccdc27	0	0	1	0
Crtap	227	352	336	449
Ccdc34os	0	0	6	0
Lrch1	3462	3719	3900	3554
Lrch2	0	0	0	0
AF357355	0	0	2	0
Arhgap39	235	106	143	259
AF357359	0	0	4	0
Gm7337	0	0	0	0
Ptges3l	50	60	43	47
Gm13084	0	0	20	0
Gm13083	0	0	0	0
Mhrt	0	0	0	0
Gm13088	0	0	0	0
Gm5795	0	0	0	0
Gm5797	0	0	0	0
Gm5796	0	1	0	0
3110001I22Rik	100	111	173	133
Mill2	7	1	12	1
Mill1	0	0	0	0
BC042761	0	0	0	0
Tmem182	0	0	0	0
Tmem180	154	150	106	130
Tmem186	730	693	804	729
Tmem189	2579	2520	2681	3143
AU040320	2312	1994	2759	2564
A330074K22Rik	0	0	0	0
4930452A19Rik	0	0	0	0
Tyms-ps	0	1	1	1
Pithd1	1421	1488	1746	1653
Atp6v1g3	9	18	12	5
Atp6v1g2	8	64	46	53
Atp6v1g1	2575	2967	2798	3211
Lonrf2	0	0	0	3
Ext1	262	174	155	143
Upk3bl	0	0	0	0
Golm1	5605	5693	6606	5956
Tbcel	929	1198	1185	1074
B230216N24Rik	138	183	108	145
Nthl1	21	95	108	84
Mnx1	0	0	0	0
Comtd1	281	275	473	461
Lin28b	0	5	3	0
Lin28a	0	0	0	0
Sardh	0	0	0	0
Mapre1	9490	10211	8251	10603
Trak1	1250	1465	2028	1907
Mapre3	71	106	84	148
Mapre2	4237	4122	4185	3897
Tcf4	249	146	118	203
Tcf7	21939	26659	20098	22380
Aup1	5321	5717	6212	6416
Tcf3	4872	5375	5501	6141
Cdo1	57	38	45	32
Ccdc64b	1	0	4	1
4930550C17Rik	0	0	2	0
5430427O19Rik	1445	1743	1939	1999
5430431A17Rik	102	97	98	86
Mdn1	1296	1431	1446	1554
Cdon	241	345	384	231
2210409E12Rik	0	0	0	0
Col18a1	0	2	0	8
Gm31763	23	30	45	33
Tas2r144	0	0	0	0
Tas2r140	0	0	0	0
Tas2r143	0	2	2	0
Adam26a	0	0	0	0
Adam26b	0	0	0	0
Tet1	9	77	204	213
Tet3	2222	1638	1812	2381
Tet2	2260	2172	2314	1915
C1qtnf9	26	1	5	29
Krtap21-1	0	0	0	0
C1qtnf2	0	0	0	0
C1qtnf3	0	0	0	0
Fam188b	0	0	0	0
C1qtnf1	0	0	5	0
C1qtnf6	46	67	131	111
C1qtnf7	0	0	0	0
C1qtnf4	50	104	34	103
C1qtnf5	0	0	0	0
2210408F21Rik	0	2	9	2
Def6	3441	3960	3610	4036
Spdef	0	0	0	0
Dbhos	0	0	0	0
Ctxn1	55	31	46	84
Ctxn2	0	0	0	0
4933427D14Rik	474	349	606	534
Def8	573	697	625	736
Olfr470	14	6	10	0
Dmrtb1	0	0	0	0
Mrpl36	1299	1333	1534	1673
Mrpl37	1197	1367	1179	1534
Mrpl34	433	589	552	670
Mrpl35	849	872	968	1227
Mrpl32	644	777	866	913
Mrpl33	2231	2094	2614	2881
Mrpl30	1171	1311	1386	1687
Mrpl38	1081	1167	896	1090
Mrpl39	623	872	920	925
2310001K24Rik	0	0	0	0
Nup88	1838	2115	1945	2345
Olfr951	0	0	0	0
Clasp2	1038	1032	997	939
Clasp1	3646	3948	3295	3846
Nup85	1241	1875	1811	1353
Nfs1	1346	1648	1664	1666
Glyat	0	0	0	0
1700006H21Rik	0	0	0	0
4933433C11Rik	0	0	0	0
Brcc3	1509	1690	1810	1465
Moxd1	0	0	9	0
Moxd2	0	0	0	0
Gem	563	274	360	438
Cyp2g1	0	0	0	0
Mir6339	0	0	0	0
Mir6338	0	0	0	0
Mir6337	0	0	0	0
Mir6336	6	0	0	0
Mir6335	0	0	0	0
Gm15787	49	70	73	47
4930528A17Rik	6	2	8	3
Mrpl27	520	588	642	709
Lrsam1	185	297	257	188
Arrdc4	219	226	50	112
Arrdc5	0	0	0	0
Arrdc1	2676	2368	3302	3222
Arrdc2	286	501	484	510
Arrdc3	1548	1390	894	840
Defb5	0	0	0	0
Stra8	0	0	6	0
Stra6	0	0	0	0
Olfr130	0	0	0	0
Sord	142	167	334	417
Rhbdd2	801	719	814	997
Rhbdd3	194	122	151	245
Rhbdd1	1111	1061	1475	1882
Cpn2	0	0	0	0
Cpn1	0	0	0	0
Slc34a1	0	0	0	0
Gm14858	0	3	2	0
Slc34a3	0	0	0	0
Slc34a2	0	0	0	0
Gm14851	0	0	0	0
Gm14850	0	0	0	0
4930504C09Rik	0	0	0	0
Gm7073	0	0	0	0
Sdf4	9078	9135	10285	10735
2900041M22Rik	48	49	71	49
Sdf2	1110	1216	1226	1336
Olfr1048	0	0	0	0
Olfr1049	0	0	0	0
Olfr1046	0	0	0	0
Olfr1047	0	0	0	0
Olfr1044	0	0	0	0
Olfr1045	0	0	0	0
Olfr1042	0	0	0	0
Olfr1043	0	3	0	0
Olfr1040	0	0	0	0
Strap	2719	2857	3374	3391
Hcar2	0	0	0	0
Hcar1	0	0	0	0
Capzb	20973	22394	22553	26574
Hoxb5os	0	0	3	0
Smc2os	3	0	0	0
Slc17a5	275	317	458	334
4930556G01Rik	0	0	6	0
Snph	0	0	1	0
Gsto2	8	5	18	4
Gsto1	433	494	827	830
Srgap1	0	0	0	0
Rprl1	0	0	0	2
Rprl3	0	0	0	0
Rprl2	0	0	0	0
Nkg7	67736	68554	81821	96188
I730028E13Rik	0	0	0	0
Saysd1	809	914	921	1108
Mir713	1	0	0	0
Mir710	0	0	0	0
Mir711	0	0	0	0
Gm15816	0	1	0	0
Mir717	0	0	0	0
Mir718	0	0	0	0
Mir719	0	0	0	0
Ddx43	203	171	317	400
Osbpl1a	24	28	30	25
1700119H24Rik	0	0	0	0
1700025M24Rik	0	0	0	0
4930467E23Rik	0	0	3	0
Osbpl10	0	2	0	0
Osbpl11	1362	2012	1610	2211
Ecm2	3	0	1	15
Ecm1	46	45	74	24
4930503E24Rik	1	0	0	0
Gm16548	0	0	0	0
Ppm1g	5241	5069	5236	6003
Ppm1f	1741	1903	1838	1707
Ppm1e	25	5	7	4
Ppm1d	1106	1153	1157	1269
Ppm1b	3997	4221	3855	4155
Ppm1a	1583	1880	2068	1978
Ppm1n	39	50	86	58
Ppm1m	647	649	642	903
Ppm1l	164	102	137	145
Ppm1k	1400	1296	1242	2029
Ppm1j	1351	1056	1497	1915
Ppm1h	2802	3167	3024	3301
Ica1l	3	5	17	2
Lcor	257	311	493	348
4930550C14Rik	0	0	44	20
Aldh4a1	575	722	684	743
Nat8l	0	0	0	1
Trappc3l	0	0	0	0
Pag1	1761	1745	1826	1523
Utp11l	1095	1170	1225	1556
Upf3b	657	466	668	686
Irgq	327	359	250	433
Uchl1os	0	0	0	0
Pcdha2	0	0	0	0
4932435O22Rik	0	0	0	0
BC031361	6	45	4	0
Mir196a-2	0	0	0	0
Mir196a-1	0	0	0	0
Kcnmb2	0	0	0	0
Aldh7a1	131	109	129	92
1700030C10Rik	93	81	99	66
Kcnmb4	1	8	3	5
Irg1	0	0	0	0
Ccsap	320	393	431	366
Setd8	1506	1944	1681	1996
C230024C17Rik	0	0	0	0
Olfr798	0	0	0	0
Olfr799	0	0	0	0
Olfr794	0	0	0	0
Setd3	2353	2355	2363	2900
Setd2	3240	3710	4034	4104
Olfr790	0	0	0	0
Olfr791	0	0	0	0
Olfr792	0	0	0	0
Setd6	954	872	1201	1022
Pcdha9	0	0	0	0
8030423F21Rik	0	0	0	0
Pm20d1	0	0	0	0
Pm20d2	0	0	1	0
R3hdml	0	0	0	0
Gm11128	0	0	0	0
Bcl9	29	76	2	18
Ngfr	0	0	6	18
Bcl6	363	611	209	212
Gm11127	1	1	1	0
Bcl3	678	737	892	1476
Bcl2	14818	14147	19551	25381
Xist	3756	4	3528	33
Fam78a	3124	3859	3022	3874
Fam78b	78	21	91	29
Vhl	1038	771	1057	1293
Gad1os	0	0	0	0
Speer4f1	0	0	0	0
Vps18	824	624	660	712
R3hdm4	2613	2443	2903	3632
Vps16	3833	3425	3924	4184
R3hdm1	1865	2131	1926	1982
R3hdm2	1099	1325	1591	1419
Sf3a1	3424	3755	3527	4310
Sf3a2	966	1087	1072	1314
Sufu	1151	1608	1714	1518
9130011E15Rik	362	444	465	696
Stx1a	222	239	239	227
Stx1b	0	0	0	1
Krt80	6	2	0	39
Hus1	516	537	553	546
Krt82	0	0	0	0
Krt83	0	0	0	0
Krt84	0	2	1	4
Krt85	0	0	0	0
Krt86	0	0	0	0
Exd2	726	1127	1041	830
Exd1	3	2	16	3
Ppp1r16a	710	854	1041	963
Ppp1r16b	1840	2106	1730	1960
Nlrx1	133	144	312	576
BB014433	0	0	0	0
Stx11	1169	808	1657	1578
Amfr	9027	9004	8737	10041
Stx12	971	1274	1058	1109
Keg1	0	0	0	0
Stx17	398	573	679	833
Stx16	736	617	803	1005
Stx19	10	31	14	26
Stx18	488	704	681	915
Gm12789	0	0	0	0
Gm15179	0	0	0	0
Tcaf3	1	0	8	0
Tcaf2	0	0	0	0
Tcaf1	0	0	0	0
Tsta3	1691	1545	1510	1938
Kdm2a	4328	4158	4975	5157
Tppp3	43	23	73	58
Tppp2	1	0	0	0
Kdm2b	757	969	1158	1164
4930563E22Rik	43	2	43	1
Gm5615	0	0	0	0
Gm5617	111	101	110	176
Prpf19	1672	1806	1513	1913
Prpf18	2752	3018	2899	3171
Gstp2	1	5	2	3
Gstp1	3688	3864	3864	4757
D830031N03Rik	113	139	98	70
H2-M10.1	0	0	0	0
H2-M10.3	0	0	1	0
H2-M10.2	0	0	0	0
H2-M10.5	0	0	0	0
H2-M10.4	0	0	0	0
H2-M10.6	0	3	0	0
Dbx2	10	0	19	0
Dbx1	0	0	0	0
BC039771	0	0	0	0
Rhox1	0	0	0	0
Clec12b	0	0	0	0
Trhde	2	0	17	0
BC016548	0	0	0	0
4933416M06Rik	0	0	0	0
Cd52	19439	18847	24389	31147
Cd53	25126	25292	26098	29863
Cd55	961	1263	938	926
Clec4g	0	0	0	0
Cd8b1	47395	45332	49109	55835
Clec4e	0	0	0	7
Clec4d	0	0	0	1
Mto1	870	1075	812	1332
Hoga1	0	0	0	0
Tpo	0	0	0	1
Gm9962	0	0	0	0
Gm9961	0	0	1	0
Tpr	12641	13173	14332	15249
1700027A15Rik	0	0	0	0
Vmn1r30	0	0	0	0
Vmn1r31	0	0	0	0
Vmn1r32	0	8	0	2
Vmn1r33	0	0	12	0
Vmn1r34	0	0	0	0
Vmn1r35	0	0	0	1
Vmn1r36	0	0	0	0
Vmn1r37	0	0	0	0
Gm7102	0	0	1	2
Txnrd2	314	416	290	366
Gm7104	0	0	0	0
Mtor	1285	1224	1550	1089
3110043O21Rik	437	320	407	336
Cypt15	0	0	0	0
Cd5l	0	0	0	72
Cdkn2aip	1716	1475	1752	1681
Ulbp1	172	200	242	193
Uqcc1	1045	971	1037	1295
Uqcc3	617	606	716	697
2810029C07Rik	9	8	0	20
Ppp1r42	0	0	0	0
Ugt2b5	0	0	0	0
Ugt2b1	14	0	14	3
Ppargc1a	6	26	14	26
Ppargc1b	525	439	599	630
Uroc1	0	0	5	0
1700029F12Rik	0	0	0	0
Apcdd1	0	0	0	0
A630073D07Rik	0	0	0	0
Bhlhe22	0	0	0	0
Bhlhe23	0	0	0	0
Rassf9	0	0	0	1
Nobox	0	0	0	0
Med28	4520	4762	4708	5867
LOC105245869	0	0	0	0
Gm8709	0	0	0	0
Ascl4	1	0	0	0
Cyp11b2	0	0	0	0
Cyp11b1	0	0	0	0
Wars	2419	2733	2179	3126
Rassf1	1760	1963	2440	2504
Clint1	11847	12231	11555	13012
4930432M17Rik	0	0	0	0
Rassf3	603	615	775	985
Med22	1352	1270	1244	1304
Sltm	3448	2781	3237	3129
Nras	5214	5558	4892	5138
2310003N18Rik	0	0	0	0
Med24	1155	933	1321	1445
Rassf7	304	235	337	277
Patz1	909	1022	1266	1454
Med26	767	804	898	1038
3632451O06Rik	0	0	0	0
Lamp5	0	0	0	0
Lamp3	2	0	1	0
Lamp2	1185	1418	1498	1577
Lamp1	8797	8371	7754	9849
Myt1	0	0	0	1
Bag2	271	215	164	292
Tmem65	1174	1366	1277	1374
Tmem64	980	1073	917	995
Tmem62	892	980	836	752
Tmem60	701	676	772	795
Clnk	0	3	10	0
Tmem69	246	467	169	381
Tmem68	1505	1156	1536	1394
Dlec1	9	0	0	14
4933403O08Rik	0	0	0	0
Olfml2b	0	3	0	1
Olfml2a	0	0	5	0
Gm608	767	612	685	686
AF366264	0	0	0	0
5430421N21Rik	3	0	11	2
Tada1	1684	1766	1628	1934
Tada3	818	845	715	1044
Set	7164	8991	7802	9401
1700072B07Rik	0	0	0	0
Ndufb11	3186	3138	3405	4319
Ndufb10	2101	2140	2232	2867
C030013G03Rik	0	0	0	0
Mea1	1495	1432	1393	1612
Dagla	0	28	16	10
Tectb	0	0	0	0
A430078I02Rik	2	5	4	10
Mir99a	0	0	0	0
Mir99b	0	0	0	0
Cntln	43	108	34	100
Lxn	388	389	382	339
Gm10256	0	0	0	0
1700123K08Rik	0	0	0	0
AA414768	12	24	28	38
Tfdp2	385	593	460	627
Tfdp1	1615	1833	1920	2158
Scin	0	0	2	0
Brip1os	716	773	855	1168
Mif4gd	1300	1214	1389	1673
Sumo1	5244	5970	6797	7213
Sumo3	2459	3063	2538	3235
Sumo2	497	532	583	744
Pds5a	4996	5870	5702	6273
Pds5b	2634	3303	2876	2605
